序号,城市,公司名称,公司类型,目标岗位,总分,入门友好度,注册资本,成立年,登记状态,BOSS搜索,智联搜索,电话/邮箱,投递方式,已确认岗位,是否在招,联系状态,备注
1,常州,常州程咬金人工智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,314.0,49.0,100万人民币,2018,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E7%A8%8B%E5%92%AC%E9%87%91%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E7%A8%8B%E5%92%AC%E9%87%91%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
2,常州,常州德世物联网信息科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,309.0,43.0,1000万人民币,2020,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%BE%B7%E4%B8%96%E7%89%A9%E8%81%94%E7%BD%91%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%BE%B7%E4%B8%96%E7%89%A9%E8%81%94%E7%BD%91%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
3,常州,常州惠研人工智能科技有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,304.0,49.0,50万人民币,2021,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%83%A0%E7%A0%94%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%83%A0%E7%A0%94%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
4,常州,常州数翼人工智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,304.0,45.0,900万人民币,2026,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%95%B0%E7%BF%BC%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%95%B0%E7%BF%BC%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
5,常州,常州常清人工智能科技有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,304.0,45.0,500万人民币,2024,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%B8%B8%E6%B8%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%B8%B8%E6%B8%85%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
6,常州,常州玖焱智能化系统集成有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,304.0,43.0,2000万人民币,2018,存续,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E7%8E%96%E7%84%B1%E6%99%BA%E8%83%BD%E5%8C%96%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E7%8E%96%E7%84%B1%E6%99%BA%E8%83%BD%E5%8C%96%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
7,常州,常州云校智能科技有限公司,中型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,298.0,43.0,1000万人民币,2016,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E4%BA%91%E6%A0%A1%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E4%BA%91%E6%A0%A1%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
8,常州,常州浩瀚智能系统集成有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,297.0,49.0,200万人民币,2019,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E6%B5%A9%E7%80%9A%E6%99%BA%E8%83%BD%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E6%B5%A9%E7%80%9A%E6%99%BA%E8%83%BD%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
9,常州,常州华奥智能系统集成有限公司,小型民企,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,293.0,44.0,100万人民币,2014,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E5%8D%8E%E5%A5%A5%E6%99%BA%E8%83%BD%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E5%8D%8E%E5%A5%A5%E6%99%BA%E8%83%BD%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
10,常州,常州乐优学人工智能科技有限公司,微型/初创,技术支持工程师（IoT/云平台） / 项目实施/交付工程师（物联网） / 云平台/DevOps运维工程师,292.0,45.0,20万人民币,2024,在业,https://www.zhipin.com/web/geek/job?query=%E5%B8%B8%E5%B7%9E%E4%B9%90%E4%BC%98%E5%AD%A6%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,https://sou.zhaopin.com/?kw=%E5%B8%B8%E5%B7%9E%E4%B9%90%E4%BC%98%E5%AD%A6%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,,,,,
